Hungary: Fruzsina; Poland: Mieczysław, Mieszko
Czech Republic: Matouš; Hungary: Máté, Mirella; Poland: Bożeciech, Bożydar, Jonasz, Laurenty, Mateusz, Mira
Czech Republic: Darina; Hungary: Móric; Poland: Joachim, Maurycy, Prosimir, Scott, Tomasz
Czech Republic: Berta; Hungary: Tekla, Líviusz; Poland: Boguchwała, Bogusław, Elżbieta, Krzysztof, Libert, Litoriusz, Liwiusz, Piotr, Tekla, Zachariusz
Czech Republic: Jaromír; Hungary: Gellért, Mercédesz; Poland: Gerard, Maria, Teodor, Tomir, Uniegost
Czech Republic: Zlata; Hungary: Eufrozina, Kende; Poland: Aurelia, Franciszek, Kamil Ładysław, Piotr Świętopełk, Wincenty, Władysław, Władysława
Czech Republic: Andrea; Hungary: Jusztina; Poland: Cyprian, Euzebiusz, Justyna Łękomir
Czech Republic: Jonáš; Hungary: Adalbert; Poland: Amadeusz, Damian
Czech Republic: Václav; Hungary: Vencel; Poland: Jan, Luba, Lubosza, Marek, Nikita, Sylwin, Wacław, Wacława, Więcesław
Czech Republic: Michal; Hungary: Mihály; Poland: Michał Rafał Gabriel
Czech Republic: Jeroným; Hungary: Jeromos; Poland: Grzegorz, Hieronim, Honoriusz, Imisław, Rachela, Wera, Wiera, Wiktor, Zofia
Czech Republic: Igor; Hungary: Malvin; Poland: Danuta, Remigiusz, Cieszysław, Dan, Danisz, Danuta, Igor, Jan, Remigiusz
Czech Republic: Olívie, Oliver; Hungary: Petra; Poland: Stanimir, Teofil
Czech Republic: Bohumil; Hungary: Helga; Poland: Gerard, Józefa, Sierosław, Teresa
Czech Republic: František; Hungary: Ferenc; Poland: Edwin, Franciszek, Konrad, Rozalia
Czech Republic: Eliška; Hungary: Aurél; Poland: Częstogniew, Donata, Igor, Justyn, Konstancjusz
Czech Republic: Hanuš; Hungary: Brúnó, Renáta; Poland: Artur, Bronisław, Bronisz, Emil, Roman
Czech Republic: Justýna; Hungary: Amália; Poland: Justyna, Marek, Maria, Rościsława, Stefan, Mirella
Czech Republic: Věra; Hungary: Koppány; Poland: Bryda, Brygida, Laurencja, Marcin, Wojsława
Czech Republic: Štefan, Sára; Hungary: Dénes; Poland: Bogdan, Jan, Ludwik
Czech Republic: Marina; Hungary: Gedeon; Poland: Franciszek, Lutomir, Tomił
Czech Republic: Andrej; Hungary: Brigitta; Poland: Aldona, Dobromiła, Emil, Emilian, Emiliusz, Maria, Marian
Czech Republic: Marcel; Hungary: Miksa; Poland: Maksymilian, Witold
Czech Republic: Renáta; Hungary: Kálmán, Ede; Poland: Daniel, Edward, Mikołaj, Siemisław
Czech Republic: Agáta; Hungary: Helén; Poland: Alan, Bernard, Dominik
Czech Republic: Tereza; Hungary: Teréz; Poland: Jadwiga, Teresa
Czech Republic: Havel; Hungary: Gál; Poland: Aurelia, Gerard, Grzegorz
Czech Republic: Hedvika; Hungary: Hedvig; Poland: Lucyna, Małgorzata, Marian, Wiktor
Czech Republic: Lukáš; Hungary: Lukács; Poland: Julian Łukasz
Czech Republic: Michaela; Hungary: Nándor; Poland: Ferdynand, Piotr, Siemowit, Skarbimir, Ziemowit
Czech Republic: Vendelín; Hungary: Vendel; Poland: Irena, Urszula
Czech Republic: Brigita; Hungary: Orsolya; Poland: Bernard, Celina, Dobromił Elżbieta
Czech Republic: Sabina; Hungary: Előd; Poland: Filip, Halka
Czech Republic: Teodor; Hungary: Gyöngyi; Poland: Iga, Ignacy, Jan, Marlena, Roman, Seweryn, Teodor, Włościsław Żegota
Czech Republic: Nina; Hungary: Salamon; Poland: Antoni, Boleczest, Filip, Marcin, Rafaela, Rafał
Czech Republic: Beáta; Hungary: Blanka, Bianka; Poland: Daria, Kryspin, Sambor, Taras
Czech Republic: Erik; Hungary: Dömötör; Poland: Dymitriusz Łucjan, Lucyna, Ludmiła, Lutosław
Czech Republic: Šarlota, Zoe; Hungary: Szabina; Poland: Iwona, Sabina, Wincenty
Hungary: Simon, Szimonetta; Poland: Szymon, Tadeusz, Wszeciech
Czech Republic: Silvie; Hungary: Nárcisz; Poland: Euzebia, Franciszek, Lubogost, Teodor, Wioletta
Czech Republic: Tadeáš; Hungary: Alfonz; Poland: Edmund, Klaudiusz, Przemysław, Sądosław
Czech Republic: Štěpánka; Hungary: Farkas; Poland: Antoni, Antonina, Godzimir, Lucylla Łukasz, Dezemir
Czech Republic: Felix; Hungary: Marianna; Poland: Andrzej, Seweryn, Warcisław, Wiktoryna
Hungary: Achilles; Poland: Bohdana, Bożydar, Małgorzata, Stojmir, Tobiasz
Czech Republic: Hubert; Hungary: Győző; Poland: Bogumił Cezary, Chwalisław, Hubert, Sylwia
Czech Republic: Karel; Hungary: Károly; Poland: Mściwój, Olgierd, Karol
Czech Republic: Miriam; Hungary: Imre; Poland: Dalemir, Elżbieta, Florian, Sławomir
Czech Republic: Liběna; Hungary: Lénárd; Poland: Feliks, Leonard, Trzebowit, Ziemowit
Czech Republic: Saskie; Hungary: Rezső; Poland: Antoni, Florentyn, Przemił
Czech Republic: Bohumír; Hungary: Zsombor; Poland: Dymitr, Klaudiusz, Seweryn, Wiktor
Czech Republic: Bohdan; Hungary: Tivadar; Poland: Bogudar, Genowefa, Teodor, Ursyn
Czech Republic: Evžen; Hungary: Réka; Poland: Andrzej, Lena, Leon, Ludomir, Stefan
Czech Republic: Martin; Hungary: Márton; Poland: Anastazja, Bartłomiej, Maciej, Marcin, Spycisław, Teodor
Czech Republic: Benedikt; Hungary: Jónás, Renátó; Poland: Cibor, Czcibor, Jonasz, Krystyn, Marcin, Renata, Witold
Czech Republic: Tibor; Hungary: Szilvia; Poland: Arkadiusz, Eugeniusz, Jan, Mikołaj, Stanisław
Czech Republic: Sáva; Hungary: Aliz; Poland: Aga, Agata, Damian, Elżbieta, Emil, Emiliusz, Józef, Judyta Ścibor Ścibora, Wszerad
Czech Republic: Leopold; Hungary: Albert, Lipót; Poland: Albert, Alfons, Artur, Gurias, Idalia, Józef, Leopold, Leopoldyna, Przybygniew, Roger
Czech Republic: Otmar; Hungary: Ödön; Poland: Edmund, Marek, Maria, Niedamir, Otomar, Paweł Piotr
Czech Republic: Mahulena; Hungary: Hortenzia, Gergő; Poland: Grzegorz
Czech Republic: Romana; Hungary: Jenő; Poland: Aniela, Cieszymysł Klaudyna, Roman, Tomasz
Czech Republic: Alžběta; Hungary: Erzsébet; Poland: Elżbieta, Mironiega, Paweł Seweryn
Czech Republic: Nikola; Hungary: Jolán; Poland: Edmund, Feliks, Sędzimir
Czech Republic: Albert; Hungary: Olivér; Poland: Janusz, Konrad, Maria, Piotr, Regina, Rena, Twardosław, Wiesław
Czech Republic: Cecílie; Hungary: Cecília; Poland: Cecylia, Marek, Wszemiła
Czech Republic: Klement; Hungary: Kelemen, Klementina; Poland: Adela, Klemens, Przedwoj
Czech Republic: Emílie; Hungary: Emma; Poland: Dobrosław, Emilia, Emma, Franciszek, Gerard, Jan, Pęcisław
Czech Republic: Kateřina; Hungary: Katalin; Poland: Katarzyna, Tęgomir
Czech Republic: Artur; Hungary: Virág; Poland: Dobiemiest, Jan, Konrad, Lechosław, Lechosława, Leonard, Sylwester
Czech Republic: Xenie; Hungary: Virgil; Poland: Dominik, Maksymilian, Stojgniew, Walery
Czech Republic: René; Hungary: Stefánia; Poland: Gościrad, Grzegorz, Jakub, Lesław, Lesława, Zdzisław
Czech Republic: Zina; Hungary: Taksony; Poland: Błażej, Bolemysł Fryderyk, Przemysł
Czech Republic: Ondřej; Hungary: András, Andor; Poland: Andrzej, Justyna, Konstanty
Czech Republic: Iva; Hungary: Elza; Poland: Blanka, Długosz, Edmund, Iwa, Natalia, Sobiesława
Czech Republic: Blanka; Hungary: Melinda, Vivien; Poland: Aurelia, Balbina, Bibiana, Budzisław, Budzisława, Ludwina, Paulina, Sulisław, Sylweriusz, Sylwery, Wiktoryn, Zbylut
Czech Republic: Svatoslav; Hungary: Ferenc; Poland: Franciszek, Kasjan, Lucjusz, Unimir
Czech Republic: Barbora; Hungary: Borbála, Barbara; Poland: Barbara, Hieronim, Krystian, Piotr
Czech Republic: Jitka; Hungary: Vilma; Poland: Gerald, Krystyna, Pęcisława
Czech Republic: Mikuláš; Hungary: Miklós; Poland: Emilian, Jarogniew, Mikołaj
Czech Republic: Ambrož; Hungary: Ambrus; Poland: Marcin, Ninomysł
Czech Republic: Květoslava; Hungary: Mária; Poland: Boguwola, Maria Światozar
Czech Republic: Vratislav; Hungary: Natália; Poland: Joachim, Wielisława, Wiesław
Czech Republic: Julie; Hungary: Judit; Poland: Andrzej, Daniel, Judyta, Julia, Maria
Czech Republic: Dana; Hungary: Árpád, Árpádina; Poland: Daniela, Julia, Stefan, Waldemar, Wojmir
Czech Republic: Simona; Hungary: Gabriella; Poland: Aleksander, Dagmara
Czech Republic: Lucie; Hungary: Luca, Otília; Poland: Lucja, Otylia
Czech Republic: Lýdie; Hungary: Szilárda; Poland: Alfred, Izydor, Sławobor
Czech Republic: Radana; Hungary: Valér; Poland: Celina, Iga, Ignacy, Krystiana, Nina, Wolimir Żegota
Czech Republic: Albína; Hungary: Etelka, Aletta; Poland: Alina, Zdzisława
Czech Republic: Daniel; Hungary: Lázár, Olimpia; Poland: Florian, Jolanta Żyrosław
Czech Republic: Miloslav; Hungary: Auguszta; Poland: Bogusław, Gracjan, Laurencja, Wszemir
Czech Republic: Ester; Hungary: Viola; Poland: Beniamin, Dariusz, Gabriela, Mścigniew, Tymoteusz
Czech Republic: Dagmar; Hungary: Teofil; Poland: Bogumiła, Dominik
Czech Republic: Natálie; Hungary: Tamás; Poland: Tomasz, Tomisław
Czech Republic: Šimon; Hungary: Zénó; Poland: Beata, Drogomir, Franciszka, Zenon
Czech Republic: Vlasta; Hungary: Viktória; Poland: Sławomir, Sławomira, Wiktoria
Czech Republic: Adam, Eva; Hungary: Ádám, Éva; Poland: Adam, Adamina, Adela, Ewa, Ewelina, Grzegorz
Hungary: Eugénia; Poland: Anastazja, Eugenia, Piotr
Czech Republic: Štěpán; Hungary: István; Poland: Szczepan, Wróciwoj
Czech Republic: Žaneta; Hungary: János; Poland: Cezary, Jan, Radomysł
Czech Republic: Bohumila; Hungary: Kamilla; Poland: Antoni, Dobrowiest, Emma
Czech Republic: Judita; Hungary: Tamás, Tamara; Poland: Domawit, Dominik, Gosław, Jonatan, Marcin, Tomasz
Czech Republic: David; Hungary: Dávid; Poland: Dawid, Eugeniusz, Katarzyna, Uniedrog
Czech Republic: Silvestr; Hungary: Szilveszter; Poland: Korneliusz, Melania, Sebastian, Sylwester, Tworzysław
