Hungary: Fruzsina; Poland: Mieczysław, Mieszko
Czech Republic: Bedřich; Hungary: Albin; Poland: Albin, Antoni, Antonina, Amelia, Feliks, Herakles, Joanna, Józef, Piotr
Czech Republic: Anežka; Hungary: Lujza; Poland: Franciszek, Helena, Henryk, Krzysztof, Michał Paweł Piotr, Radosław
Czech Republic: Kamil; Hungary: Kornélia; Poland: Hieronim, Maryna
Czech Republic: Stela; Hungary: Kázmér; Poland: Adrian, Adrianna, Arkadiusz, Eugeniusz, Kazimierz, Lucja
Czech Republic: Kazimír; Hungary: Adorján, Adrián; Poland: Adrian, Adrianna, Fryderyk, Jan, Wacław, Wacława
Czech Republic: Miroslav; Hungary: Leonóra, Inez; Poland: Eugenia, Jordan, Klaudian, Róża, Wiktor, Wojsław
Czech Republic: Tomáš; Hungary: Tamás; Poland: Felicja, Paweł Tomasz
Czech Republic: Gabriela; Hungary: Zoltán; Poland: Beata, Jan, Julian, Miligost, Stefan
Czech Republic: Františka; Hungary: Franciska, Fanni; Poland: Dominik, Franciszka, Katarzyna
Czech Republic: Viktorie; Hungary: Ildikó; Poland: Aleksander, Borzysław, Cyprian
Czech Republic: Anděla; Hungary: Szilárd; Poland: Benedykt, Drogosława, Edwin, Konstantyn, Rozyna
Czech Republic: Řehoř; Hungary: Gergely; Poland: Bernard, Blizbor, Grzegorz, Józefina
Czech Republic: Růžena; Hungary: Krisztián, Ajtony; Poland: Bożena, Ernest, Kasjan, Krystyna, Marek
Czech Republic: Rút, Matylda; Hungary: Matild; Poland: Bożeciecha, Jakub, Leon, Matylda, Michał
Czech Republic: Ida; Hungary: Kristóf; Poland: Gościmir, Klemens, Krzysztof, Ludwika
Czech Republic: Elena, Herbert; Hungary: Henrietta; Poland: Henryka, Herbert, Izabela
Czech Republic: Vlastimil; Hungary: Gertrúd, Patrik; Poland: Gertruda, Jan, Patryk, Zbigniew
Czech Republic: Eduard; Hungary: Sándor, Ede; Poland: Aleksander, Boguchwał Cyryl, Edward
Czech Republic: Josef; Hungary: József, Bánk; Poland: Bogdan, Józef
Czech Republic: Světlana; Hungary: Klaudia; Poland: Aleksander, Bogusław, Klaudia
Czech Republic: Radek; Hungary: Benedek; Poland: Benedykt, Lubomira, Mikołaj
Czech Republic: Leona; Hungary: Beáta, Izolda, Lea; Poland: Bogusław, Katarzyna, Kazimierz, Paweł
Czech Republic: Ivona; Hungary: Emőke; Poland: Feliks, Katarzyna, Piotr
Czech Republic: Gabriel; Hungary: Gábor, Karina; Poland: Gabriel, Marek, Szymon
Czech Republic: Marián; Hungary: Irén, Írisz; Poland: Ireneusz Łucja, Lutomysł Maria, Wieńczysław
Czech Republic: Emanuel; Hungary: Emánuel; Poland: Emanuel, Feliks, Manuela, Teodor
Czech Republic: Dita; Hungary: Hajnalka; Poland: Benedykt, Ernest, Jan, Lidia, Rupert
Czech Republic: Soňa; Hungary: Gedeon, Johanna; Poland: Aniela, Antoni, Jan
Czech Republic: Taťána; Hungary: Auguszta; Poland: Cyryl
Czech Republic: Arnošt; Hungary: Zalán; Poland: Amelia, Aniela, Częstobor, Jan
Czech Republic: Kvido; Hungary: Árpád; Poland: Beniamin, Dobromira, Kornelia
Czech Republic: Hugo; Hungary: Hugó; Poland: Grażyna, Katarzyna, Teodora, Tolisław, Zbigniew
Czech Republic: Erika; Hungary: Áron; Poland: Franciszek, Sądomir, Władysław, Władysława
Czech Republic: Richard; Hungary: Buda, Richárd; Poland: Antoni, Cieszygor, Jakub, Ryszard
Czech Republic: Ivana; Hungary: Izidor; Poland: Benedykt, Izydor, Wacław, Wacława
Czech Republic: Miroslava; Hungary: Vince; Poland: Borzywoj, Irena, Wincenty, Jam
Czech Republic: Vendula; Hungary: Vilmos, Bíborka; Poland: Ada, Adam, Ireneusz, Katarzyna Świętobor
Czech Republic: Heřman; Hungary: Herman; Poland: Donata, Przecław
Czech Republic: Ema; Hungary: Dénes; Poland: Cezary, Radosław, Sieciesława
Czech Republic: Dušan; Hungary: Erhard; Poland: Dobrosława, Dymitr, Maja
Czech Republic: Darja; Hungary: Zsolt; Poland: Antoni, Daniel, Henryk, Małgorzata, Michał
Czech Republic: Izabela; Hungary: Leó, Szaniszló; Poland: Filip, Jaromir, Leon, Marek
Czech Republic: Julius; Hungary: Gyula; Poland: Andrzej, Iwan, Juliusz, Siemiodrog, Wiktor, Zenon
Czech Republic: Aleš; Hungary: Ida; Poland: Jan, Justyn, Małgorzata, Marcin, Przemysł Przemysław
Czech Republic: Vincenc; Hungary: Tibor; Poland: Julianna, Justyn, Maria, Myślimir
Czech Republic: Anastázie; Hungary: Anasztázia, Tas; Poland: Anastazja, Leonid, Wacław, Wacława
Czech Republic: Irena; Hungary: Csongor; Poland: Erwin, Julia, Ksenia, Nikita, Nosisław
Czech Republic: Rudolf; Hungary: Rudolf; Poland: Jakub, Józef, Klara, Radociech, Robert, Rudolf, Stefan
Czech Republic: Valérie; Hungary: Andrea, Ilma; Poland: Bogusław, Bogusława, Gościsław
Czech Republic: Rostislav; Hungary: Emma; Poland: Cieszyrad, Czechasz, Czesław, Leon, Tymon, Werner, Włodzimierz
Czech Republic: Marcela; Hungary: Tivadar; Poland: Agnieszka, Czechoń Czesław, Nawoj, Szymon, Teodor
Czech Republic: Alexandra; Hungary: Konrád; Poland: Bartosz, Drogomił Feliks, Konrad
