Mieczysław, Mieszko | Mieczysława, Mieszka
Franciszek, Helena, Henryk, Krzysztof, Michał Paweł Piotr, Radosław | Franciszka, Heleny, Henryka, Krzysztofa, Michała, Pawła, Piotra, Radosława
Hieronim, Maryna | Hieronima, Maryny
Adrian, Adrianna, Arkadiusz, Eugeniusz, Kazimierz, Lucja | Adriana, Adrianny, Arkadiusza, Eugeniusza, Kazimierza, Lucji
Adrian, Adrianna, Fryderyk, Jan, Wacław, Wacława | Adriana, Adrianny, Fryderyka, Jana, Wacława, Wacławy
Eugenia, Jordan, Klaudian, Róża, Wiktor, Wojsław | Eugenii, Jordana, Klaudiana, Róży, Wiktora, Wojsława
Felicja, Paweł Tomasz | Felicji, Pawła, Tomasza
Beata, Jan, Julian, Miligost, Stefan | Beaty, Jana, Juliana, Miłogost, Miligosta, Miłogosta, Stefana
Dominik, Franciszka, Katarzyna | Dominika, Franciszki, Katarzyny
Aleksander, Borzysław, Cyprian | Aleksandra, Borzysława, Cypriana
Benedykt, Drogosława, Edwin, Konstantyn, Rozyna | Benedykta, Drogosławy, Edwina, Konstantyna, Rozyny
Bernard, Blizbor, Grzegorz, Józefina | Bernarda, Blizbora, Grzegorza, Józefiny
Bożena, Ernest, Kasjan, Krystyna, Marek | Bożeny, Ernesta, Kasjana, Krystyny, Marka
Bożeciecha, Jakub, Leon, Matylda, Michał | Bożeciechy, Jakuba, Leona, Matyldy, Michała
Gościmir, Klemens, Krzysztof, Ludwika | Gościmira, Klemensa, Krzysztofa, Ludwiki
Henryka, Herbert, Izabela | Henryki, Herberta, Izabeli
Gertruda, Jan, Patryk, Zbigniew | Gertrudy, Jana, Patryka, Zbigniewa, Zbyszko, Zbyszka
Aleksander, Boguchwał Cyryl, Edward | Aleksandra, Boguchwała, Cyryla, Edwarda
Bogdan, Józef | Bogdana, Józefa
Aleksander, Bogusław, Klaudia | Aleksandra, Bogusława, Klaudii
Benedykt, Lubomira, Mikołaj | Benedykta, Lubomiry, Mikołaja
Bogusław, Katarzyna, Kazimierz, Paweł | Bogusława, Katarzyny, Kazimierza, Pawła
Feliks, Katarzyna, Piotr | Feliksa, Katarzyny, Piotra
Gabriel, Marek, Szymon | Gabriela, Marka, Szymona
Ireneusz Łucja, Lutomysł Maria, Wieńczysław | Ireneusza Łucji, Lucja, Lucji, Lutomysła, Marii, Wieńczysława
Emanuel, Feliks, Manuela, Teodor | Emanuela, Feliksa, Manueli, Teodora
Benedykt, Ernest, Jan, Lidia, Rupert | Benedykta, Ernesta, Jana, Lidii, Ruperta
Aniela, Antoni, Jan | Anieli, Antoniego, Jana
Cyryl | Cyryla
Amelia, Aniela, Częstobor, Jan | Amelii, Anieli, Częstobora, Jana
Beniamin, Dobromira, Kornelia | Beniamina, Dobromiry, Kornelii
Grażyna, Katarzyna, Teodora, Tolisław, Zbigniew | Grażyny, Katarzyny, Teodory, Tolisława, Zbigniewa, Zbyszko, Zbyszka
Franciszek, Sądomir, Władysław, Władysława | Franciszka, Sądomira, Władysława, Władysławy
Antoni, Cieszygor, Jakub, Ryszard | Antoniego, Cieszygora, Jakuba, Ryszarda
Benedykt, Izydor, Wacław, Wacława | Benedykta, Izydora, Wacława, Wacławy
Borzywoj, Irena, Wincenty, Jam | Borzywoja, Ireny, Wincentego, Jama
Ada, Adam, Ireneusz, Katarzyna Świętobor | Ady, Adama, Ireneusza, Katarzyny Świętobora
Donata, Przecław | Donaty, Przecława
Cezary, Radosław, Sieciesława | Cezarego, Radosława, Sieciesławy
Dobrosława, Dymitr, Maja | Dobrosławy, Demetriusza, Dymitra, Mai
Antoni, Daniel, Henryk, Małgorzata, Michał | Antoniego, Daniela, Henryka, Małgorzaty, Michała
Filip, Jaromir, Leon, Marek | Filipa, Jaromira, Leona, Marka
Andrzej, Iwan, Juliusz, Siemiodrog, Wiktor, Zenon | Andrzeja, Iwana, Juliusza, Siemiodroga, Wiktora, Zenona
Jan, Justyn, Małgorzata, Marcin, Przemysł Przemysław | Jana, Justyna, Małgorzaty, Marcina, Przemysła, Przemysława
Julianna, Justyn, Maria, Myślimir | Julianny, Justyna, Marii, Myślimira
Anastazja, Leonid, Wacław, Wacława | Anastazji, Leonida, Wacława, Wacławy
Erwin, Julia, Ksenia, Nikita, Nosisław | Erwina, Julii, Ksenii, Nikity, Nosisława
Jakub, Józef, Klara, Radociech, Robert, Rudolf, Stefan | Jakuba, Józefa, Klary, Radociecha, Roberta, Rudolfa, Stefana
Bogusław, Bogusława, Gościsław | Bogusława, Bogusławy, Gościsława
Cieszyrad, Czechasz, Czesław, Leon, Tymon, Werner, Włodzimierz | Cieszyrada, Czechasza, Czesława, Leona, Tymona, Wernera, Włodzimierza
Agnieszka, Czechoń Czesław, Nawoj, Szymon, Teodor | Agnieszki, Czechonia, Czesława, Nawoja, Szymona, Teodora
Bartosz, Drogomił Feliks, Konrad | Bartosza, Drogomiła, Feliksa, Konrada
Kajus, Kaja Łukasz, Teodor | Kajusa, Kai Łukasza, Teodora
Gerard, Helena, Jerzy, Wojciech | Gerarda, Heleny, Jerzego, Wojciecha
Aleksander, Erwin, Grzegorz | Aleksandra, Erwina, Grzegorza
Jarosław, Marek | Jarosława, Marka
Maria, Marzena, Spycimir | Marii, Marzeny, Spycimira
Andrzej, Bożebor, Martyn, Piotr, Zyta | Andrzeja, Bożebora, Martyna, Piotra, Zyty
Maria, Paweł | Marii, Pawła
Angelina, Augustyn, Bogusław, Piotr, Robert | Angeliny, Augustyna, Bogusława, Piotra, Roberta
Bartłomiej, Jakub, Katarzyna, Marian | Bartłomieja, Jakuba, Katarzyny, Mariana
Aniela, Filip, Jakub, Józef, Lubomir, Maja | Anieli, Filipa, Jakuba, Józefa, Lubomira, Mai
Walter, Witomir, Zygmunt, Wouter | Waltera, Witomira, Zygmunta, Woutera
Aleksander, Antonina, Maria, Mariola Świętosława | Aleksandra, Antoniny, Marii, Marioli Świętosławy
Grzegorz, Michał Monika | Grzegorza, Michała, Moniki
Irena, Teodor, Waldemar | Ireny, Teodora, Waldemara
Gościwit, Jan, Judyta | Gościwita, Jana, Judyty
Benedykt, Bogumir, Ludmiła, Ludomiła | Benedykta, Bogumira, Ludmiły, Ludomiły
Marek, Michał Piotr, Stanisław | Marka, Michała, Piotra, Stanisława
Bożydar, Grzegorz, Karolina, Mikołaj | Bożydara, Grzegorza, Karoliny, Mikołaja
Częstomir, Jan | Częstomira, Jana
Filip, Franciszek, Iga, Ignacy, Lew, Lutogniew, Mira Żegota | Filipa, Franciszka, Igi, Ignacego, Lwa, Lutogniewa, Miry Żegoty
Dominik, Jan, Joanna, Wszemił Pankracy | Dominika, Jana, Joanny, Wszemiła, Pankracego
Andrzej, Ciechosław, Gloria, Magdalena, Piotr, Robert | Andrzeja, Ciechosława, Glorii, Magdaleny, Piotra, Roberta
Dobiesław, Wiktor, Maciej | Dobiesława, Wiktora, Macieja
Jan, Zofia | Jana, Zofii
Andrzej, Jędrzej, Szymon, Wieńczysław | Andrzeja, Jędrzeja, Szymona, Wieńczysława
Bruno, Sławomir, Weronika, Wiktor | Bruna, Sławomira, Weroniki, Wiktora
Aleksander, Aleksandra, Alicja, Edwin, Eryk, Eryka, Feliks, Irena, Myślibor | Aleksandra, Aleksandry, Alicji, Edwina, Eryka, Eryki, Feliksa, Ireny, Myślibora
Augustyn, Celestyn, Mikołaj, Pękosław, Piotr, Timur | Augustyna, Celestyna, Mikołaja, Pękosława, Piotra, Timura
Bronimir, Teodor, Wiktoria | Bronimira, Teodora, Wiktorii
Donata, Jan, Tymoteusz, Wiktor | Donaty, Jana, Tymoteusza, Wiktora
Emil, Helena, Jan, Julia, Ryta, Wiesław, Wiesława, Wisława | Emila, Heleny, Jana, Julii, Ryty, Wiesława, Wiesławy, Wisławy
Budziwoj, Emilia, Iwona, Jan, Michał | Budziwoja, Emilii, Iwony, Jana, Michała
Cieszysława, Jan, Joanna, Maria, Zula, Zuzanna | Cieszysławy, Jana, Joanny, Marii, Zuli, Zuzanny
Grzegorz, Imisława, Maria, Magdalena | Grzegorza, Imisławy, Marii, Magdaleny
Filip, Marianna, Paulina, Ewelina, Więcemił | Filipa, Marianny, Pauliny, Eweliny, Więcemiła
Jan, Juliusz, Lucjan, Magdalena, Radowit | Jana, Juliusza, Lucjana, Magdaleny, Radowita
Augustyn, Jaromir, Wiktor, Wrocimir | Augustyna, Jaromira, Wiktora, Wrocimira
Bogusława, Maksymilian, Maria, Magdalena, Teodor, Urszula | Bogusławy, Maksymiliana, Marii, Magdaleny, Teodora, Urszuli
Feliks, Joanna | Feliksa, Joanny
Aniela, Bożysława, Teodor | Anieli, Bożysławy, Teodora
Bernard, Jakub, Konrad, Magdalena, Nikodem, Symeon Świętopełk | Bernarda, Jakuba, Konrada, Magdaleny, Nikodema, Symeona Świętopełka
Eugeniusz, Maria, Marianna, Mikołaj, Piotr, Racisław | Eugeniusza, Marii, Marianny, Mikołaja, Piotra, Racisława
Konstantyn, Leszek, Paula, Tamara | Konstantyna, Leszka, Pauli, Tamary
Franciszek, Gościmił Karol | Franciszka, Gościmiła, Karola
Dobrociech, Dobromir, Dobrymir | Dobrociecha, Dobromira, Dobrymira
Dominika, Norbert, Paulina, Więcerad | Dominiki, Norberta, Pauliny, Więcerada
Antoni, Ciechomir, Jarosław, Paweł Robert, Wiesław, Wisław | Antoniego, Ciechomira, Jarosława, Pawła, Roberta, Wiesława, Wisława
Maksym, Seweryn, Wyszesław | Maksyma, Seweryna, Wyszesława
Felicjan | Felicjana
Bogumił Edgar, Małgorzata | Bogumiła, Edgara, Małgorzaty
Feliks, Radomił | Feliksa, Radomiła
Antonina, Jan, Leon, Wyszemir | Antoniny, Jana, Leona, Wyszemira
Antoni, Chociemir, Lucjan, Maria, Magdalena, Tobiasz | Antoniego, Chociemira, Lucjana, Marii, Magdaleny, Tobiasza
Eliza, Justyn, Justyna, Ninogniew | Elizy, Justyna, Justyny, Ninogniewa
Angelina, Jolanta, Witold, Witolda, Witosław | Angeliny, Jolanty, Witolda, Witołd, Witołda, Witoldy, Witosława
Alina, Aneta, Budzimir, Jan, Justyna | Aliny, Anety, Budzimira, Jana, Justyny
Agnieszka, Drogomysł Franciszek, Laura, Marcjan, Radomił | Agnieszki, Drogomysła, Franciszka, Laury, Marcjana, Radomiła
Elżbieta, Marek, Marina, Paula | Elżbiety, Marka, Mariny, Pauli
Julianna | Julianny
Bogna, Bogumiła, Bożena, Franciszek, Michał Rafaela, Rafał | Bogny, Bogumiły, Bożeny, Franciszka, Michała, Rafaely, Rafała
Alicja, Domamir, Marta, Teodor | Alicji, Domamira, Marty, Teodora
Broniwoj, Paulina | Broniwoja, Pauliny
Józef, Piotr, Wanda, Zenon | Józefa, Piotra, Wandy, Zenona
Dan, Danisz, Danuta, Emilia, Jan | Dana, Danisza, Danuty, Emilii, Jana
Lucja, Tolisława | Lucji Łucja Łucji, Tolisławy
Jan, Paweł | Jana, Pawła
Maria, Magdalena, Władysław, Władysława | Marii, Magdaleny, Władysławy
Ireneusz, Józef, Leon, Paweł | Ireneusza, Józefa, Leona, Pawła
Dalebor, Paweł Piotr | Dalebora, Pawła, Piotra
Ciechosława, Emilia, Lucyna | Ciechosławy, Emilii, Lucyny
Halina, Marian | Haliny, Mariana
Maria, Piotr, Jagoda | Marii, Piotra, Jagody
Jacek, Leon, Miłosław | Jacka, Leona, Miłosława
Elżbieta, Józef, Julian, Teodor, Wielisław | Elżbiety, Józefa, Juliana, Teodora, Wielisława
Antoni, Bartłomiej, Jakub, Karolina, Michał | Antoniego, Bartłomieja, Jakuba, Karoliny, Michała
Chociebor, Dominik, Dominika, Lucja, Niegosław | Chociebora, Dominiki Łucja Łucji, Lucji, Niegosława
Antoni, Kira, Piotr, Benedykt, Cyryl | Antoniego, Kiry, Piotra, Benedykta, Cyryla
Adrian, Adrianna, Chwalimir, Edgar, Elżbieta, Eugeniusz | Adriana, Adrianny, Chwalimira, Edgara, Elżbiety, Eugeniusza
Lucja, Mikołaj, Weronika, Zenon | Łucja Łucji, Lucji, Mikołaja, Weroniki, Zenona
Aleksander, Amelia, Aniela, Filip | Aleksandra, Amelii, Anieli, Filipa
Cyprian, Kalina, Olga | Cypriana, Kaliny, Olgi
Andrzej, Euzebiusz, Feliks, Henryk, Paweł Piotr, Tolimir, Weronika | Andrzeja, Euzebiusza, Feliksa, Henryka, Pawła, Piotra, Tolimira, Weroniki
Ernest, Eugeniusz, Jakub, Justyna, Małgorzata, Radomiła, Sara | Ernesta, Eugeniusza, Jakuba, Justyny, Małgorzaty, Radomiły, Sary
Damian, Dobrogost, Franciszek, Izabela, Marcelina | Damiana, Dobrogosta, Franciszka, Izabeli, Marceliny
Daniel, Dawid, Henryk, Iga, Ignacy, Lubomysł Niecisław, Włodzimierz Żegota | Daniela, Dawida, Henryka, Igi, Ignaciego, Lubomysła, Niecisława, Włodzimierza Żegoty
Andrzej, Maria, Magdalena, Marika, Stefan | Andrzeja, Marii, Magdaleny, Mariki, Stefana
Aleksander, Andrzej, Bogdan, Marcelina, Maria, Magdalena, Aneta | Aleksandra, Andrzeja, Bogdana, Marceliny, Marii, Magdaleny, Anety
Erwin, Kamil, Karolina, Robert, Szymon, Unisław | Erwina, Kamili, Karoliny, Roberta, Szymona, Unisława
Lutobor, Wincenty | Lutobora, Wincentego
Czechoń Czesław, Małgorzata, Paweł | Czechonia, Czesława, Małgorzaty, Pawła
Andrzej, Daniel, Paulina, Stojsław, Wiktor | Andrzeja, Daniela, Pauliny, Stojsława, Wiktora
Bolesława, Bolisława, Maria, Magdalena, Milenia, Więcemiła | Bolesławy, Bolisławy, Marii, Magdaleny, Milenii, Więcemiły
Bogna Żelisław | Bogny Żelisława
Antoni, Kinga, Krystyna, Olga, Wojciecha | Antoniego, Kingi, Krystyny, Olgi, Wojciechy
Jakub, Krzysztof, Sławosz, Walentyna | Jakuba, Krzysztofa, Sławosza, Walentyny
Anna, Baldev, Grażyna, Mirosława | Anny, Baldeva, Grażyny, Mirosławy
Julia, Marta, Natalia, Wszebor | Julii, Marty, Natalii, Wszebora
Marcela Świętomir, Wiktor | Marceli Świętomira, Wiktora
Konstantyn, Maria, Marta | Konstantyna, Marii, Marty
Julia, Julita, Ludmiła, Maryna | Julii, Julity, Ludmiły, Maryny
Emilian, Helena, Iga, Ignacy, Ludomir | Emiliana, Heleny, Igi, Ignacego, Ludomira
Konrad, Piotr | Konrada, Piotra
Borzysława, Karina, Maria, Stefan | Borzysławy, Kariny, Marii, Stefana
Augusta, Lidia, Nikodem, Szczepan | Augusty, Lidii, Nikodema, Szczepana
Dominik, Maria, Mironieg | Dominika, Marii, Mironiega
Emil, Maria, Stanisława | Emila, Marii, Stanisławy
Jakub, Sława, Stefan, Wincenty | Jakuba, Sławy, Stefana, Wincentego
Anna, Dobiemir, Donata, Dorota, Kajetan | Anny, Dobiemira, Donaty, Doroty, Kajetana
Cyprian, Cyryl, Emil, Emilian, Emiliusz | Cypriana, Cyryla, Emila, Emiliana, Emiliusza
Jan, Klarysa, Miłorad, Roman | Jana, Klarysy, Miłorada, Romana
Bogdan, Borys | Bogdana, Borysa
Aleksander, Włodzimierz, Włodziwoj, Zula, Zuzanna | Aleksandra, Włodzimierza, Włodziwoja, Zuli, Zuzanny
Klara, Lech, Piotr | Klary, Lecha, Piotra
Diana, Helena, Jan, Kasjan, Radomiła, Wojbor | Diany, Heleny, Jana, Kasjana, Radomiły, Wojbora
Dobrowoj, Euzebiusz | Dobrowoja, Euzebiusza
Maria, Stefan | Marii, Stefana
Domarad, Domarat, Joachim | Domarada, Domarata, Joachima
Anastazja, Angelika, Anita, Eliza, Jacek, Jaczewoj, Joanna, Julianna, Miron Żanna | Anastazji, Angeliki, Anity, Elizy, Jacka, Jaczewoja, Joanny, Julianny, Mirona Żanny
Bogusława, Bronisław, Bronisz, Helena, Ilona, Klara | Bogusławy, Bronisława, Bronisza, Heleny, Ilony, Klary
Bolesław, Emilia, Jan, Julian, Juliusz, Piotr | Bolesława, Emilii, Jana, Juliana, Juliusza, Piotra
Jan, Samuel, Samuela, Sieciech, Sobiesław Świeciech | Jana, Samueli, Sieciecha, Sobiesława Świeciecha
