Mieczysław, Mieszko | Mieczysława, Mieszka
Danuta, Remigiusz, Cieszysław, Dan, Danisz, Danuta, Igor, Jan, Remigiusz | Danuty, Remigiusza, Cieszysława, Dana, Danisza, Danuty, Igora, Jana, Remigiusza
Stanimir, Teofil | Stanimira, Teofila
Gerard, Józefa, Sierosław, Teresa | Gerarda, Józefy, Sierosława, Teresy
Edwin, Franciszek, Konrad, Rozalia | Edwina, Franciszka, Konrada, Rozalii
Częstogniew, Donata, Igor, Justyn, Konstancjusz | Częstogniewa, Donaty, Igora, Justyna, Konstancjusza
Artur, Bronisław, Bronisz, Emil, Roman | Artura, Bronisława, Bronisza, Emila, Romana
Justyna, Marek, Maria, Rościsława, Stefan, Mirella | Justyny, Marka, Marii, Rościsławy, Stefana, Mirelli
Bryda, Brygida, Laurencja, Marcin, Wojsława | Brydy, Brygidy, Laurencji, Marcina, Wojsławy
Bogdan, Jan, Ludwik | Bogdana, Jana, Ludwika
Franciszek, Lutomir, Tomił | Franciszka, Lutomira, Tomiła
Aldona, Dobromiła, Emil, Emilian, Emiliusz, Maria, Marian | Aldony, Dobromiły, Emila, Emiliana, Emiliusza, Marii, Mariana
Maksymilian, Witold | Maksymiliana, Witolda
Daniel, Edward, Mikołaj, Siemisław | Daniela, Edwarda, Mikołaja, Siemisława
Alan, Bernard, Dominik | Alana, Bernarda, Dominika
Jadwiga, Teresa | Jadwigi, Teresy
Aurelia, Gerard, Grzegorz | Aurelii, Gerarda, Grzegorza
Lucyna, Małgorzata, Marian, Wiktor | Lucyny, Małgorzaty, Mariana, Wiktora
Julian Łukasz | Juliana Łukasza
Ferdynand, Piotr, Siemowit, Skarbimir, Ziemowit | Ferdynanda, Piotra, Siemowita, Skarbimira, Ziemowita
Irena, Urszula | Ireny, Urszuli
Bernard, Celina, Dobromił Elżbieta | Bernarda, Celiny, Dobromiła, Elżbiety
Filip, Halka | Filipa, Halki
Iga, Ignacy, Jan, Marlena, Roman, Seweryn, Teodor, Włościsław Żegota | Igi, Ignacego, Jana, Marleny, Romana, Seweryna, Teodora, Włościsława Żegoty
Antoni, Boleczest, Filip, Marcin, Rafaela, Rafał | Antoniego, Boleczesta, Filipa, Marcina, Rafaeli, Rafała
Daria, Kryspin, Sambor, Taras | Darii, Kryspina, Sambora, Tarasa
Dymitriusz Łucjan, Lucyna, Ludmiła, Lutosław | Dymitriusza Łucjana, Lucyny, Ludmiły, Lutosława
Iwona, Sabina, Wincenty | Iwony, Sabiny, Wincentego
Szymon, Tadeusz, Wszeciech | Szymona, Tadeusza, Wszeciecha
Euzebia, Franciszek, Lubogost, Teodor, Wioletta | Euzebii, Franciszka, Lubogosta, Teodora, Wioletty
Edmund, Klaudiusz, Przemysław, Sądosław | Edmunda, Klaudiusza, Przemysława, Sądosława
Antoni, Antonina, Godzimir, Lucylla Łukasz, Dezemir | Antoniego, Antoniny, Godzimira, Lucylli Łukasza, Dezemira
Andrzej, Seweryn, Warcisław, Wiktoryna | Andrzeja, Seweryna, Warcisława, Wiktoryny
Bohdana, Bożydar, Małgorzata, Stojmir, Tobiasz | Bohdany, Bożydara, Małgorzaty, Stojmira, Tobiasza
Bogumił Cezary, Chwalisław, Hubert, Sylwia | Bogumiła, Cezarego, Chwalisława, Huberta, Sylwii
Mściwój, Olgierd, Karol | Mściwója, Olgierda, Karola
Dalemir, Elżbieta, Florian, Sławomir | Dalemira, Elżbiety, Floriana, Sławomira
Feliks, Leonard, Trzebowit, Ziemowit | Feliksa, Leonarda, Trzebowita, Ziemowita
Antoni, Florentyn, Przemił | Antoniego, Florentyna, Przemiła
Dymitr, Klaudiusz, Seweryn, Wiktor | Dymitra, Klaudiusza, Seweryna, Wiktora
Bogudar, Genowefa, Teodor, Ursyn | Bogudara, Genowefy, Teodora, Ursyna
Andrzej, Lena, Leon, Ludomir, Stefan | Andrzeja, Leny, Leona, Ludomira, Stefana
Anastazja, Bartłomiej, Maciej, Marcin, Spycisław, Teodor | Anastazji, Bartłomieja, Macieja, Marcina, Spycisława, Teodora
Cibor, Czcibor, Jonasz, Krystyn, Marcin, Renata, Witold | Cibora, Czcibora, Jonasza, Krystyny, Marcina, Renaty, Witolda
Arkadiusz, Eugeniusz, Jan, Mikołaj, Stanisław | Arkadiusza, Eugeniusza, Jana, Mikołaja, Stanisława
Aga, Agata, Damian, Elżbieta, Emil, Emiliusz, Józef, Judyta Ścibor Ścibora, Wszerad | Agi, Agaty, Damiana, Elżbiety, Emila, Emiliusza, Józefa, Judyty Ścibory, Wszerada
Albert, Alfons, Artur, Gurias, Idalia, Józef, Leopold, Leopoldyna, Przybygniew, Roger | Alberta, Alfonsa, Artura, Guriasa, Idalii, Józefa, Leopolda, Leopoldyny, Przybygniewa, Rogera
Edmund, Marek, Maria, Niedamir, Otomar, Paweł Piotr | Edmunda, Marka, Marii, Niedamira, Otomara, Pawła, Piotra
Grzegorz | Grzegorza
Aniela, Cieszymysł Klaudyna, Roman, Tomasz | Anieli, Cieszymysła, Klaudyny, Romana, Tomasza
Elżbieta, Mironiega, Paweł Seweryn | Elżbiety, Mironiegi, Pawła, Seweryna
Edmund, Feliks, Sędzimir | Edmunda, Feliksa, Sędzimira
Janusz, Konrad, Maria, Piotr, Regina, Rena, Twardosław, Wiesław | Janusza, Konrada, Marii, Piotra, Reginy, Reny, Twardosława, Wiesława
Cecylia, Marek, Wszemiła | Cecylii, Marka, Wszemiły
Adela, Klemens, Przedwoj | Adeli, Klemensa, Przedwoja
Dobrosław, Emilia, Emma, Franciszek, Gerard, Jan, Pęcisław | Dobrosława, Emilii, Emmy, Franciszka, Gerarda, Jana, Pęcisława
Katarzyna, Tęgomir | Katarzyny, Tęgomira
Dobiemiest, Jan, Konrad, Lechosław, Lechosława, Leonard, Sylwester | Dobiemiesta, Jana, Konrada, Lechosławy, Leonarda, Sylwestera
Dominik, Maksymilian, Stojgniew, Walery | Dominika, Maksymiliana, Stojgniewa, Walerego
Gościrad, Grzegorz, Jakub, Lesław, Lesława, Zdzisław | Gościrada, Grzegorza, Jakuba, Lesława, Lesławy, Zdzisława
Błażej, Bolemysł Fryderyk, Przemysł | Błażeja, Bolemysła, Fryderyka, Przemysła
Andrzej, Justyna, Konstanty | Andrzeja, Justyny, Konstantego
Blanka, Długosz, Edmund, Iwa, Natalia, Sobiesława | Blanki, Długosza, Edmunda, Iwy, Natalii, Sobiesławy
Aurelia, Balbina, Bibiana, Budzisław, Budzisława, Ludwina, Paulina, Sulisław, Sylweriusz, Sylwery, Wiktoryn, Zbylut | Aurelii, Balbiny, Bibiany, Budzisławy, Ludwiny, Pauliny, Sulisława, Sylweriusza, Sylwerego, Wiktoryna, Zbyluta
Franciszek, Kasjan, Lucjusz, Unimir | Franciszka, Kasjana, Lucjusza, Unimira
Barbara, Hieronim, Krystian, Piotr | Barbary, Hieronima, Krystiana, Piotra
Gerald, Krystyna, Pęcisława | Geralda, Krystyny, Pęcisławy
Emilian, Jarogniew, Mikołaj | Emiliana, Jarogniewa, Mikołaja
Marcin, Ninomysł | Marcina, Ninomysła
Boguwola, Maria Światozar | Boguwoli, Marii Światozara
Joachim, Wielisława, Wiesław | Joachima, Wielisławy, Wiesława
Andrzej, Daniel, Judyta, Julia, Maria | Andrzeja, Daniela, Judyty, Julii, Marii
Daniela, Julia, Stefan, Waldemar, Wojmir | Danieli, Julii, Stefana, Waldemara, Wojmira
Aleksander, Dagmara | Aleksandra, Dagmary
Lucja, Otylia | Lucji Łucja Łucji, Otylii
Alfred, Izydor, Sławobor | Alfreda, Izydora, Sławobora
Celina, Iga, Ignacy, Krystiana, Nina, Wolimir Żegota | Celiny, Igi, Ignacego, Krystiany, Niny, Wolimira Żegoty
Alina, Zdzisława | Aliny, Zdzisławy
Florian, Jolanta Żyrosław | Floriana, Jolanty Żyrosława
Bogusław, Gracjan, Laurencja, Wszemir | Bogusława, Gracjana, Laurencji, Wszemira
Beniamin, Dariusz, Gabriela, Mścigniew, Tymoteusz | Beniamina, Dariusza, Gabrieli, Mścigniewa, Tymoteusza
Bogumiła, Dominik | Bogumiły, Dominika
Tomasz, Tomisław | Tomasza, Tomisława
Beata, Drogomir, Franciszka, Zenon | Beaty, Drogomira, Franciszki, Zenona
Sławomir, Sławomira, Wiktoria | Sławomiry, Wiktorii
Adam, Adamina, Adela, Ewa, Ewelina, Grzegorz | Adama, Adaminy, Adeli, Ewy, Eweliny, Grzegorza
Anastazja, Eugenia, Piotr | Anastazji, Eugenii, Piotra
Szczepan, Wróciwoj | Szczepana, Wróciwoja
Cezary, Jan, Radomysł | Cezarego, Jana, Radomysła
Antoni, Dobrowiest, Emma | Antoniego, Dobrowiesta, Emmy
Domawit, Dominik, Gosław, Jonatan, Marcin, Tomasz | Domawita, Dominika, Gosława, Jonatana, Marcina, Tomasza
Dawid, Eugeniusz, Katarzyna, Uniedrog | Dawida, Eugeniusza, Katarzyny, Uniedroga
Korneliusz, Melania, Sebastian, Sylwester, Tworzysław | Korneliusza, Melanii, Sebastiana, Sylwestera, Tworzysława
